GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TDD_Demo,default,GestorProductos,10,99,5,11,2,18,5,8,0,5
TDD_Demo,default,Producto,0,15,0,0,0,6,0,3,0,3
